"Last Updated on","Created on","Internal Reference","Name","Material Type","General Subcategory/Display Name","Unit of Measure/Display Name","Bulk status","Netto Claim","Netto Claim UOM/Display Name","Factory/Display Name"
"2022-08-05 01:53:45","2021-09-17 09:32:28","L-TLTD-OMG","OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum TESTER","Semi Finished Goods","Refill","Pc(s)","","5.3","g","JTK06"
"2022-08-05 04:34:07","2022-07-24 09:38:35","S0016","Wardah Anti-Perspirant Deodorant 60 ml","Finished Goods","Not Sellable","Pc(s)","","60.0","ml",""
"2022-08-05 04:34:49","2022-07-24 09:40:07","S0018","Wardah Hand Sanitizer Non-Perfume 100 ml","Finished Goods","Not Sellable","Pc(s)","","100.0","ml",""
"2022-08-05 04:35:05","2022-07-24 09:37:45","S0015","Wardah Head to Toe Cleanser 40 ml","Finished Goods","Not Sellable","Pc(s)","","40.0","ml",""
"2022-08-05 04:35:22","2022-07-24 09:43:40","S0023","Wardah Lip Treatment Balm 4 g","Finished Goods","Not Sellable","Pc(s)","","4.0","g",""
"2022-08-05 04:35:36","2022-07-24 09:42:16","S0021","Wardah Moist+ Plus Petroleum Jelly 30 g (jar)","Finished Goods","Not Sellable","Pc(s)","","30.0","g",""
"2022-08-05 06:06:45","2022-07-24 09:42:59","S0022","Wardah Moist+ Plus Petroleum Jelly 30 ml (tube)","Finished Goods","Not Sellable","Pc(s)","","30.0","ml",""
"2022-08-05 06:07:02","2022-07-24 09:40:50","S0019","Wardah Sunscreen Gel SPF 30 40 ml","Finished Goods","Not Sellable","Pc(s)","","40.0","ml",""
"2022-08-05 06:07:15","2022-07-24 09:41:30","S0020","Wardah Sunscreen Gel SPF 50 PA+++ for Face and Body 40 ml","Finished Goods","Not Sellable","Pc(s)","","40.0","ml",""
"2022-08-05 06:07:32","2022-07-24 09:39:19","S0017","Wardah Zam-Zam Bottle 100 ml","Finished Goods","Not Sellable","Pc(s)","","100.0","ml",""
