"Korporat Code","Shelf Life Year","Shelf Life Month","Min.customer life"
"HJ-P-BULK","0","1.0","0"
"MC-P-BULK","0","1.0","0"
"PUS-1P-BULK","0","0.1075","0"
"PUS-2P-BULK","0","0.25","0"
"PUS-PL-BULK","0","0.1075","0"
"S-LB-BULK","0","1.0","0"
"SUNS-GS-30NP-BULK","0","1.0","0"
"SOLV-BGKHN-X","2","0.0","26"
"BUTY--DAI1,3","1","0.0","26"
"HUM-13BG-X","3","0.0","26"
"OIL-O-POAS-CAN","3","0.0","26"
"PEN-PRSVPE-X","3","0.0","26"
"SOLV-2PEEPH-MO","3","0.0","26"
"BAGP-E17-EM","0","0.0","0"
"BAND-BC-EM","0","0.0","0"
"ATK-AKH100U1-EM","0","0.0","0"
"SERT-AC26A4W40-EM","0","0.0","0"
"ACRL-CBC18-MO","0","0.0","0"
"KEEP-DSHP-MO","0","0.0","0"
"SERT-UM-MO","0","0.0","0"
"BAND-BC-W","0","0.0","0"
"ACRL-A4W1-W","0","0.0","0"
"KEEP-W2-W","0","0.0","0"
"ACRL-MIR-EM","0","0.0","0"
"KEEP-DADA-EM","0","0.0","0"
"PINW-LU1PSP-EM","0","0.0","0"
"BAND-BCMO-MO","0","0.0","0"
"BUKU-PROS-MO","0","0.0","0"
"NOTE-WTCK-MO","0","0.0","0"
"BOOK-PMO19-MO","0","0.0","0"
"TBC-20ABMPBCO-X","0","0.0","0"
"TBC-20ABSMBCO-X","0","0.0","0"
"TBC-20ABSCPBCO-X","0","0.0","0"
"TBC-20ABUBBCO-X","0","0.0","0"
"TBC-20ABUKBCO-X","0","0.0","0"
"KATA-20WCGI-W","0","0.0","0"
"KATA-20WCGF-W","0","0.0","0"
"KATA-20WCGL-W","0","0.0","0"
"BOX-20WCSP-W","0","0.0","0"
"POUC-20CPMS2S12-W","0","0.0","0"
"P1704","0","0.0","0"
"TBC-20EAPBCO-EM","0","0.0","0"
"GWP-BPACBL-EM","0","0.0","0"
"GWP-BPACPI-EM","0","0.0","0"
"GWP-BPACYL-EM","0","0.0","0"
"P1699","0","0.0","0"
"BLAZ-EMPR-EM","0","0.0","0"
"BOX-20EBK-EM","0","0.0","0"
"BOX - 20EDIYK - EM","0","0.0","0"
"CATA-20FULL16-EM","0","0.0","0"
"GWP-20EMB-EM","0","0.0","0"
"GWP-EGWPPSF-EM","0","0.0","0"
"GWP-EGWPPSP-EM","0","0.0","0"
"GWP-EGWPPSR-EM","0","0.0","0"
"GWP-20EPL-EM","0","0.0","0"
"GWP-20EPMET-EM","0","0.0","0"
"GWP-20ETBL-EM","0","0.0","0"
"GWP-20ETBMET-EM","0","0.0","0"
"GWP-20ETWP-EM","0","0.0","0"
"GWP-20EMXCBRY-EM","0","0.0","0"
"MA-KEMS-EM","0","0.0","0"
"NOTA-20EMDS-EM","0","0.0","0"
"NOTA-20EP-EM","0","0.0","0"
"BAGP-20ERWK8-EM","0","0.0","0"
"BAGP-20ERWK10-EM","0","0.0","0"
"P1710","0","0.0","0"
"SERA-20EEGSL-EM","0","0.0","0"
"SERA-20EEGSM-EM","0","0.0","0"
"SERA-20EEGSS-EM","0","0.0","0"
"CATA-20SHORA5-EM","0","0.0","0"
"TBC-20ESCPBCO-EM","0","0.0","0"
"STIC-20EPDPSA6-EM","0","0.0","0"
"GWP-20EMXCBR-EM","0","0.0","0"
"GWP-20EMXDP-EM","0","0.0","0"
"GWP-20WMRM-W","0","0.0","0"
"GWP-20WSCRM-W","0","0.0","0"
"GWP-20WSRM-W","0","0.0","0"
"P1702","0","0.0","0"
"TBC-20WIAPBCO-W","0","0.0","0"
"BOX-20WII250-W","0","0.0","0"
